geoid,latitude,longitude
99586,62.66799568856754,-144.1118851060779
99587,60.92313750575669,-148.92672031503972
99588,62.33381369003063,-146.72325277680787
99589,59.12749200281645,-161.5687726964341
99590,62.89938887759189,-160.10742044680111
99591,56.584293817606756,-169.61791638374422
99602,62.18470960167048,-159.84479877207414
99603,59.53737803466885,-151.2355001319724
99604,61.52660173980799,-166.11490077010316
99605,60.80797696636247,-149.54108671154333
99606,59.79425428292898,-154.64429269894583
99607,61.757223497687555,-159.7856653039868
99714,64.43274298631292,-146.67117593949084
99720,66.5635407269943,-152.7761014048275
99721,68.15447389188148,-151.70977342732243
99722,68.09544241630947,-145.61019037210974
99723,71.27398837261646,-156.74533126354973
99724,66.38313808242509,-147.3216521990422
99726,67.1183927234745,-152.15682503329393
99727,65.9759266916451,-161.13857978727458
99729,63.1834650255215,-148.50158000392176
99730,65.61510142054888,-145.251294581928
99732,64.07169318190647,-142.00646956678142
99733,65.79283025634855,-144.18283058187075
99734,70.40815663726379,-149.0866791762723
99736,66.0849522790646,-162.76150321425843
99737,63.79605563051319,-145.07352863086385
99738,65.2089955328063,-142.18312666667018
99739,64.96617375402916,-162.54479360026585
99740,67.5344086923661,-143.74507525382816
99741,64.73879153737958,-156.85895065555297
99742,63.761568410339464,-171.7157858480515
99743,63.7838082693798,-150.1279624910966
99744,64.30628150805815,-149.18011973453994
99745,66.04300569406452,-154.24780756785307
99746,65.5728145151651,-158.11934378344347
99501,61.22026165953637,-149.856565975676
99747,70.1185207334674,-143.6633414911604
99748,64.32636150104109,-158.76755095602226
99749,66.97843101057403,-160.43180465602876
99750,67.72910184407971,-164.54418958495668
99751,66.91926100317495,-156.87003266491465
99752,67.1998170265651,-162.0202110628928
99753,64.93961032571107,-161.15141594583343
99754,64.90099020208032,-157.69471855947842
99755,63.6998961416221,-148.62167880455556
99756,64.58625837728793,-151.84701792260037
99757,63.75050997939507,-152.75140097911907
99758,65.15178158753834,-149.3723842539436
99759,69.73129143729807,-162.8977749826333
99760,64.21367269908683,-148.23073667494623
99761,67.60042751347147,-163.0345891523722
99762,64.83915140025643,-164.43519420820905
99763,66.82855161458683,-161.0366680503129
99764,63.38146892174173,-141.51133242354842
99765,64.72926332731927,-158.13236861139163
99766,68.64617758749077,-164.9725201302419
99767,65.5022048397148,-150.1512720904041
99768,65.11675868746663,-154.87994234961985
99769,63.679451612677745,-170.48620582641558
99770,66.76683532861172,-159.4786833346545
99771,64.35763884458257,-161.19943227442968
99772,65.98319409664192,-165.79844802303964
99773,66.88758295372854,-157.16481385906755
99774,66.01942381052409,-149.0767546411419
99775,64.858133425936,-147.82475806187443
99776,63.38831992865269,-143.4113217788944
99777,65.20884609595427,-152.05628283007667
99778,65.15424521880428,-166.299061173346
99780,63.19466885635641,-143.07796708671714
99781,67.4770406639075,-146.0194792240796
99782,70.64066886370357,-159.930791174138
99783,65.66427532149298,-168.02258701033477
99784,64.68204059640188,-163.40567288753502
99785,65.34191981344468,-166.49253766388819
99786,67.17316973823287,-155.95425344857017
99788,66.6463039572756,-143.78143345256024
99789,70.03240723658469,-151.85626530365636
99790,65.42128753397256,-148.2880243022113
99791,70.56135849553138,-156.63795460038793
99801,58.386744600066,-134.07742768592513
99820,57.4415338400223,-134.19604645590002
99824,58.2723340960066,-134.40079103016322
99825,58.13317344517791,-135.84852363342767
99826,58.75369125773552,-136.56583063933073
99827,59.12558761671475,-135.70252408981227
99829,58.107478328529,-135.42749586172067
99830,56.81190742311863,-134.11922645444997
99832,58.03194372514374,-136.18958551943177
99833,56.88129965620073,-133.10031280012117
99835,56.99083179662399,-135.07695810142286
99836,56.2366058671494,-134.6528411179751
99840,59.559946123542055,-135.33660768275047
99841,57.79428353522039,-135.18440684441455
99901,55.56637969628551,-131.03623353715972
99609,60.87844468620894,-162.52746088440853
99610,60.24934012101446,-150.4290705918297
99611,60.718552449190746,-150.98502332255853
99612,55.062435016252934,-162.2897673100565
99613,58.98833834331602,-155.5668984744079
99614,59.93632368051411,-164.06124028440695
99615,57.60359148978919,-153.37500340041495
99620,63.02921553130766,-163.54624282553723
99621,60.795103405077505,-161.40049262438595
99622,59.87419335332251,-163.20426951141846
99624,57.560002771816634,-153.91195410894142
99625,59.289235462268536,-156.6505819487152
99626,61.516968445266706,-160.3646550130811
99627,63.53165297999852,-154.6293861848213
99628,58.95093307236355,-159.1749883776212
99630,60.37225222423866,-166.263592911423
99631,60.61489258542487,-149.40538325976408
99632,62.11232449295439,-163.66450631096797
99633,58.78298494178669,-156.89923369751912
99634,60.688200406537476,-161.99019676608427
99636,59.48828961093903,-157.2913668742698
99637,60.54309462715027,-165.14331334838272
99638,52.89918903107854,-168.93998494539878
99639,60.067771904362104,-151.40408763405236
99640,60.30979014566302,-155.22846872368055
99641,60.8873060382198,-162.46285604920996
99643,57.21601858143493,-153.3444498005726
99644,57.92439693292518,-152.42209197954585
99645,61.63028352700697,-148.98706557109327
99647,59.86804112464567,-154.07576431187456
99648,55.91655662033739,-159.16747858050198
99649,57.51195677223379,-157.34185911452008
99650,61.94219595662334,-162.88553068886793
99651,59.009597706341346,-161.71176213141334
